episode_length,episode_return,episodes,steps,steps_per_second
92,55.590336,104,1389568,107.2080491
92,-128.9526,105,1389660,108.4252626
92,-44.759953,106,1389752,107.6215135
92,-13.642691,107,1389844,108.0805745
92,58.982666,108,1389936,107.5724
92,-226.99146,109,1390028,107.6444505
92,63.623184,110,1390120,106.8248315
92,-83.98774,111,1390212,108.4940066
92,56.446644,112,1390304,105.8576383
92,68.433975,113,1390396,107.665775
92,-94.17042,114,1390488,105.1223483
92,7.641242,115,1390580,109.3351724
92,64.50496,116,1390672,106.7711833
92,56.930176,117,1390764,107.7751133
92,50.2918,118,1390856,105.9477098
92,56.800682,119,1390948,109.7266609
92,57.477047,120,1391040,107.7724042
92,60.048706,121,1391132,108.8552499
92,-13.659077,122,1391224,106.6400832
92,59.27266,123,1391316,108.1258507
92,56.093037,124,1391408,104.1810741
92,-14.068618,125,1391500,108.0454396
92,-160.06133,126,1391592,107.6610889
92,-19.505384,127,1391684,109.3773826
92,56.26319,128,1391776,106.6583583
92,61.022938,129,1391868,108.2156067
92,28.025852,130,1391960,105.0698525
92,63.299194,131,1392052,108.8823411
92,63.61596,132,1392144,108.0352454
92,-39.92418,133,1392236,107.2944673
92,57.82496,134,1392328,107.2752578
92,-271.38446,135,1392420,106.527976
92,58.152054,136,1392512,106.8199226
92,65.12326,137,1392604,106.7932568
92,56.52111,138,1392696,108.6379344
92,-3.9907665,139,1392788,108.3906339
92,67.828415,140,1392880,108.3595571
92,-20.83872,141,1392972,108.9999229
92,53.944145,142,1393064,106.9373869
92,-109.50366,143,1393156,108.1528832
92,-94.43753,144,1393248,106.510657
92,59.094933,145,1393340,109.1195486
92,59.52054,146,1393432,107.3155041
92,62.60558,147,1393524,106.8106088
92,58.65342,148,1393616,107.5558189
92,67.84662,149,1393708,108.7946048
92,-45.500954,150,1393800,106.8379932
92,-73.44617,151,1393892,109.6898554
92,50.891838,152,1393984,106.8130627
92,-24.93243,153,1394076,107.1274799
92,72.520584,154,1394168,107.2537597
92,7.283266,155,1394260,107.7722537
92,61.755997,156,1394352,105.3676596
92,55.02954,157,1394444,108.3006483
92,-12.665558,158,1394536,107.1985781
92,-5.5784883,159,1394628,107.8668205
92,54.498425,160,1394720,107.059476
92,-100.297585,161,1394812,107.5580374
92,-116.9286,162,1394904,106.7502412
92,-94.6649,163,1394996,109.3950573
92,53.130928,164,1395088,105.189576
92,-109.89154,165,1395180,107.0632484
