episode_length,episode_return,episodes,steps,steps_per_second
92,-97.28209,261,24012,158.644122093279
92,11.601405,262,24104,151.5056563932969
92,-71.525536,263,24196,156.20813935977796
92,54.844536,264,24288,154.89524671986177
92,50.1044,265,24380,151.93115700084417
92,-5.025013,266,24472,143.22756376232024
92,50.207592,267,24564,158.37813318054097
92,58.651318,268,24656,150.73121025676681
92,62.97165,269,24748,158.29893245149717
92,-68.69809,270,24840,155.20038868877066
92,62.994682,271,24932,150.47822141525413
92,61.32754,272,25024,155.2188053722969
92,59.031746,273,25116,158.21585365003622
92,29.95778,274,25208,149.1871396465448
92,62.096497,275,25300,158.71126488293544
92,-43.13927,276,25392,155.22948280703278
92,59.853592,277,25484,154.7574612260089
92,27.685343,278,25576,154.56418037429373
92,60.684063,279,25668,157.724557105241
92,55.55046,280,25760,148.9575288263701
92,60.74646,281,25852,160.4729435082593
92,57.196346,282,25944,149.28398724101444
92,56.895878,283,26036,149.61019754506128
92,53.102657,284,26128,155.4675145727137
92,-2.0394993,285,26220,152.70242265471038
92,63.76076,286,26312,157.76041001454644
92,56.202415,287,26404,156.11271238760116
92,53.996357,288,26496,153.0795817441924
92,55.18495,289,26588,146.68074443498358
92,8.463053,290,26680,156.63144221932853
92,64.60211,291,26772,151.10246983146658
92,55.30254,292,26864,152.67595941787232
92,55.399826,293,26956,157.14748674609103
92,59.2032,294,27048,148.66416142258
92,63.5092,295,27140,159.14064801785588
92,54.586468,296,27232,152.92282207139908
92,61.994846,297,27324,155.87622842480474
92,-108.06084,298,27416,155.73795003967348
92,55.19993,299,27508,150.37987722563608
92,28.941542,300,27600,152.9296099517047
92,-261.0883,301,27692,159.47502132527492
92,13.968003,302,27784,150.0916273295018
92,57.998165,303,27876,157.96604030329402
92,55.59024,304,27968,153.52381498014688
92,62.04635,305,28060,153.87135489793175
92,25.103125,306,28152,154.91408858554507
92,56.900276,307,28244,150.21917950071494
92,-22.821024,308,28336,150.40373308242397
92,36.815056,309,28428,150.81645600293913
92,55.206226,310,28520,156.549849972169
92,59.010487,311,28612,146.50576529825784
92,58.468876,312,28704,144.19087142821377
92,-49.895653,313,28796,144.3588492921711
92,-216.96486,314,28888,141.5886093877737
92,54.776817,315,28980,143.45332810886327
92,54.965744,316,29072,136.5591353099013
92,61.961136,317,29164,145.8354628627406
92,10.06773,318,29256,138.45373817876248
92,56.646397,319,29348,143.77831051640456
92,57.730556,320,29440,137.4911654910244
92,57.312923,321,29532,150.03723674776467
92,-88.60695,322,29624,142.40321329484505
92,-134.69566,323,29716,142.52634463827115
92,54.6586,324,29808,139.7605082253403
92,57.577675,325,29900,144.13361970110674
92,-88.40759,326,29992,119.92787345220783
92,9.064552,327,30084,119.2111026771495
92,56.18201,328,30176,120.0213146744915
92,-154.52094,329,30268,119.89452353329013
92,60.066998,330,30360,110.3549876897479
92,-126.12325,331,30452,140.63652578812747
92,55.732025,332,30544,150.53105310811955
92,60.678894,333,30636,157.66436604272525
92,58.698837,334,30728,152.0006995855271
92,-198.0307,335,30820,153.34737270461366
92,-1.8977757,336,30912,142.70360401739916
92,56.92192,337,31004,148.4362134598755
92,-84.494576,338,31096,145.12125581517793
92,-193.77596,339,31188,158.9489062159525
92,-197.5367,340,31280,148.9280365322886
92,-77.672714,341,31372,154.05755460021592
92,54.870564,342,31464,155.03981826385572
92,56.007618,343,31556,154.0403348140862
92,8.861858,344,31648,153.44738005783566
92,54.647358,345,31740,156.76118612924444
92,-51.96078,346,31832,149.2219279792105
92,-85.466606,347,31924,150.9190907526478
92,57.830463,348,32016,155.46413224339165
92,60.2859,349,32108,150.415986328795
92,58.08141,350,32200,155.61736151047367
92,56.526497,351,32292,152.67058330600074
92,-49.03843,352,32384,149.50962438549615
92,62.60888,353,32476,159.49881763466584
92,53.558018,354,32568,151.0850169457548
92,-188.16411,355,32660,153.42364700264523
92,52.010307,356,32752,153.4738672493654
92,33.298233,357,32844,158.98269786420903
92,55.326504,358,32936,149.8782597347312
92,57.760162,359,33028,158.8839173439246
92,14.530048,360,33120,150.59614576304392
92,58.98808,361,33212,154.1392164734314
92,58.99841,362,33304,154.92783422371863
92,-85.32324,363,33396,151.33257355127
92,-23.553547,364,33488,150.2330988917721
92,58.12166,365,33580,157.3528045938952
92,55.849163,366,33672,156.76296929748835
92,-173.9898,367,33764,151.6322278829699
92,-52.575653,368,33856,155.28151729027942
92,54.313282,369,33948,152.97677811395914
92,52.84129,370,34040,150.0255700860164
92,56.846516,371,34132,153.99084936490283
92,54.146904,372,34224,154.19132343074884
92,-74.491684,373,34316,153.67936163535538
92,-61.324028,374,34408,154.34711504116112
92,57.69539,375,34500,156.04604595375184
92,-18.945568,376,34592,149.11213745602484
92,-82.04682,377,34684,158.60115183091136
92,58.4071,378,34776,151.72458091288917
92,57.419155,379,34868,157.09796781794878
92,63.264988,380,34960,147.95823629240118
92,58.983326,381,35052,160.42444157675575
92,14.072781,382,35144,134.87625250658607
92,55.172935,383,35236,144.4984807803928
92,63.797707,384,35328,152.84335175172797
92,57.65846,385,35420,154.8943140732998
92,-33.83216,386,35512,153.38321400576524
92,-35.480087,387,35604,152.95076533655822
92,15.022934,388,35696,152.04513961126978
92,62.202908,389,35788,155.7917097822212
92,56.691284,390,35880,151.7508943792829
92,57.783142,391,35972,159.13513513513513
92,-203.18562,392,36064,152.9519172303792
92,-70.67382,393,36156,155.82417222086494
92,56.667305,394,36248,155.09552815547013
92,60.94729,395,36340,157.3242561491359
92,59.97545,396,36432,145.13490149469297
92,58.60629,397,36524,154.69951306107623
92,-150.41356,398,36616,146.80189260310536
92,55.78308,399,36708,151.96831426751947
92,64.15153,400,36800,151.09744062037214
92,-108.923416,401,36892,156.31102768242621
92,-100.42902,402,36984,151.74265925221877
92,57.566563,403,37076,159.87734708886197
92,54.902523,404,37168,148.13215485630403
92,-37.055954,405,37260,158.3547350563161
92,50.677387,406,37352,152.30823834033282
92,-188.35063,407,37444,152.93633782051154
92,55.417965,408,37536,158.33368265475528
92,-48.82973,409,37628,157.45258093052558
92,-209.59482,410,37720,153.42352500076538
92,-55.51423,411,37812,155.49777417609053
92,61.253086,412,37904,155.85891446128792
92,54.783543,413,37996,146.0454264004808
92,-303.07208,414,38088,156.11631248025162
92,61.513374,415,38180,153.07047313186064
92,59.76065,416,38272,156.77296852807058
